"name","type","command"
"Lead 04","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+04&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-04"
"Lead 04","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+04&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-04&date=2026-05-23"
"Lead 04","payment_invoice","npm run payment:invoice -- --buyer=""Lead 04"" --company=""직장인"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-04 --out=outreach/generated"
"Lead 04","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 04"" --ref=B30-WORKFIX-20260523-04 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 04","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 10","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+10&company=%ED%94%84%EB%A6%AC%EB%9E%9C%EC%84%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-10"
"Lead 10","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+10&company=%ED%94%84%EB%A6%AC%EB%9E%9C%EC%84%9C&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-10&date=2026-05-23"
"Lead 10","payment_invoice","npm run payment:invoice -- --buyer=""Lead 10"" --company=""프리랜서"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-10 --out=outreach/generated"
"Lead 10","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 10"" --ref=B30-WORKFIX-20260523-10 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 10","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 01","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+01&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-01"
"Lead 01","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+01&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EC%A3%BC%EA%B0%84+%EC%97%85%EB%8D%B0%EC%9D%B4%ED%8A%B8%EC%99%80+%EB%B3%B4%EA%B3%A0+%EB%AC%B8%EC%95%88+%EC%9E%91%EC%84%B1&ref=B30-WORKFIX-20260523-01&date=2026-05-23"
"Lead 01","payment_invoice","npm run payment:invoice -- --buyer=""Lead 01"" --company=""직장인"" --offer=workfix --use-case=""주간 업데이트와 보고 문안 작성"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-01 --out=outreach/generated"
"Lead 01","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 01"" --ref=B30-WORKFIX-20260523-01 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 01","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 02","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+02&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-02"
"Lead 02","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+02&company=%EC%A7%81%EC%9E%A5%EC%9D%B8&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-02&date=2026-05-23"
"Lead 02","payment_invoice","npm run payment:invoice -- --buyer=""Lead 02"" --company=""직장인"" --offer=workfix --use-case=""고객 메일/후속 연락 초안 반복"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-02 --out=outreach/generated"
"Lead 02","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 02"" --ref=B30-WORKFIX-20260523-02 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 02","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
"Lead 11","buyer_room","https://happyreni.github.io/brief30-workfix-sprint/dealroom/index.html?offer=workfix&buyer=Lead+11&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-11"
"Lead 11","invoice_url","https://happyreni.github.io/brief30-workfix-sprint/invoice/index.html?offer=workfix&buyer=Lead+11&company=%EC%97%90%EC%9D%B4%EC%A0%84%EC%8B%9C&useCase=%EA%B3%A0%EA%B0%9D+%EB%A9%94%EC%9D%BC%2F%ED%9B%84%EC%86%8D+%EC%97%B0%EB%9D%BD+%EC%B4%88%EC%95%88+%EB%B0%98%EB%B3%B5&ref=B30-WORKFIX-20260523-11&date=2026-05-23"
"Lead 11","payment_invoice","npm run payment:invoice -- --buyer=""Lead 11"" --company=""에이전시"" --offer=workfix --use-case=""고객 메일/후속 연락 초안 반복"" --date=2026-05-23 --ref=B30-WORKFIX-20260523-11 --out=outreach/generated"
"Lead 11","delivery_sample","npm run fulfill:workfix-followup -- --file=outreach/prospect-seed.csv --buyer=""Lead 11"" --ref=B30-WORKFIX-20260523-11 --date=2026-05-23 --limit=8 --out=outreach/generated"
"Lead 11","money_paid","npm run money:paid -- path/to/brief30-launch-ledger.csv path/to/payment-text.txt --out=path/to/brief30-launch-ledger.csv --month=2026-05 --report-out=outreach/generated"
